depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_5,lineage_6,lineage_4,"CRISPR (DepMap Public 23Q2+Score, Chronos) AHR","CRISPR (DepMap Public 23Q2+Score, Chronos) CACNA1C","CRISPR (DepMap Public 23Q2+Score, Chronos) CACNA1D","CRISPR (DepMap Public 23Q2+Score, Chronos) CACNA1F","CRISPR (DepMap Public 23Q2+Score, Chronos) CACNA1S","CRISPR (DepMap Public 23Q2+Score, Chronos) CACNB1","CRISPR (DepMap Public 23Q2+Score, Chronos) CACNB2","CRISPR (DepMap Public 23Q2+Score, Chronos) CACNB3","CRISPR (DepMap Public 23Q2+Score, Chronos) CACNB4","CRISPR (DepMap Public 23Q2+Score, Chronos) CFTR","CRISPR (DepMap Public 23Q2+Score, Chronos) FDPS","CRISPR (DepMap Public 23Q2+Score, Chronos) NR3C2","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CFTR","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) AHR","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) FDPS","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) NR3C2","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CACNA1C","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CACNA1D","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CACNA1F","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CACNA1S","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CACNB1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CACNB2","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CACNB3","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CACNB4"
ACH-002680,170MGBA,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,0.3815288006465941,-0.001748809833108,-0.00898921035715,-0.0163262194675699,-0.1041394528086732,-0.1672183861382779,0.1288490509619144,-0.2771803549717501,0.0365102478660212,0.0957419242940822,-0.6883634839986396,-0.0376099239933572,,,,,,,,,,,,
ACH-000283,A1207,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,,,,,,,,,,,,,-0.343665069054,-0.23368870829100002,-0.0675130193311,-0.331099617369,-0.302612245416,-0.320413236599,-0.163869356802,-0.188717596037,-0.609015113246,-0.26116198094799997,0.025911818308200003,0.425195813583
ACH-002228,D423MG,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,-0.1042497446090893,-0.1082064417557166,-0.0469558435808159,0.0854933270721792,0.1145404357368008,-0.1677053842002718,0.2829469310485024,-0.3062607073647893,0.0885637914230446,-0.0689543020553316,-0.2448756460933425,0.009552801876174,,,,,,,,,,,,
ACH-002229,D502MG,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,-0.0376090566360058,-0.0512861665441762,-0.0856639157511382,0.0784044543962531,-0.1111290000237323,-0.2539648705114126,0.0789361869329825,-0.1811130864708332,-0.0531402348108429,0.2006848611895927,-0.3479130998675826,-0.1017565901834793,,,,,,,,,,,,
ACH-002230,D542MG,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,-0.3732253487088546,0.0172615797996656,-0.0469097816378478,0.0074996238360115,-0.1994624839141928,-0.0089606425640947,0.1397214932371957,-0.877518945761335,-0.0331656992157571,0.1627948003427967,-0.7259758136590869,-0.1521939213615702,,,,,,,,,,,,
ACH-000328,LN215,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,,,,,,,,,,,,,-0.040076151658099995,-0.11431530283199999,-0.305873016715,-0.122027364344,0.020624230302,-0.0759764825526,0.00852319871906,-0.0112931654014,0.40053579682400003,0.368963087584,0.250466014834,-0.0570696262744
ACH-000634,LN340,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,-0.2560015853366842,0.0142431575171926,0.1518589127542652,0.1047727823793873,-0.1053102233882139,-0.1570855420341981,0.2258257765050491,-0.3702956619295744,0.2775372139658244,0.062251927595593,-0.5170692231408746,0.0267315476504026,0.027847081126599997,-0.399751824875,-0.36547101175999996,-0.0232373127888,-0.504399988819,-0.292494604058,-0.0035724942449899995,0.10796803963,-0.386109474378,0.136024451984,0.175002686859,-0.11051866902100001
ACH-000455,LN428,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,-0.064545323857081,-0.0335725844615715,-0.0055650557416401,-0.1267583546040458,-0.0768813405224549,-0.2134661897722453,0.1749670015835231,-0.3806280340259725,0.0090005943827215,0.1135933134052576,-0.3782484313299746,0.0344927808312946,-0.17246263323600003,-0.29172651066599997,0.0334285242805,-0.179839800153,-0.231630358308,-0.17001060259,-0.145681430936,-0.0264440119059,-0.24528039972399998,-0.034530000277999996,-0.000473994499904,0.11255937730599999
ACH-000673,LN443,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,-0.2168301568950537,-0.0166282908009458,-0.0335025956515,-0.0851605242540463,-0.1380172363529336,-0.0805057292923406,0.0606444847208282,-0.5103346991087723,-0.0247988195867291,0.1549925301506332,-0.8813312694585343,0.0496071580436881,0.0544487253082,-0.180902830631,-0.19721377802700002,0.0545309558122,-0.493115430407,-0.17951112124899998,-0.134396184651,0.27464265452799996,-0.329769053453,-0.0628646294418,-0.45789069423,-0.273525928781
ACH-000676,LN464,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,-0.1170545201336087,-0.0456208010895337,0.0255562560931309,-0.1465914662980224,-0.0548788969091541,-0.264314175279887,0.0739739917559611,-0.5148988605273565,-0.0126762617994995,0.176697583241456,-0.4935101147656222,0.0298401350722245,-0.45838046478999994,-0.25360359944899996,-0.364806076801,-0.319064946721,-0.23290409896400002,-0.028225340637,-0.0343672579217,-0.13232146273499998,-0.370985133073,0.189825042204,-0.20465013771499999,-0.263121984439
